tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
548.00;19352901#1_0;127.66;10.24;302.00;-0.97;19352037_0;5.10;11.03;tripinfo_547 routing_547;246.00;547;1;2335.17;0.99;0.00;30.90;DEFAULT_VEHTYPE;;0;0.00
557.00;-19357968_0;129.14;11.31;335.00;-0.03;19352037_0;5.10;11.80;tripinfo_593 routing_593;222.00;593;1;2347.31;1.06;0.00;19.56;DEFAULT_VEHTYPE;;0;0.00
559.00;19350124_0;51.79;10.66;342.00;-0.66;19352037_0;5.10;11.54;tripinfo_561 routing_561;217.00;561;1;2172.24;1.03;0.00;25.07;DEFAULT_VEHTYPE;;0;0.00
563.00;19353264#5_0;78.76;9.89;305.00;-0.15;-19355636_0;5.10;10.48;tripinfo_268 routing_268;258.00;268;1;1869.89;0.94;0.00;77.09;DEFAULT_VEHTYPE;;3;45.00
567.00;19358928_0;80.64;9.14;116.00;-0.59;19358499#0_1;5.10;9.76;tripinfo_129 routing_129;451.00;129;1;3623.00;0.87;0.00;73.53;DEFAULT_VEHTYPE;;1;26.00
567.00;19354772_1;94.99;9.73;441.00;-0.70;-19361189#3_0;5.10;10.70;tripinfo_656 routing_656;126.00;656;1;1090.29;0.96;0.00;21.07;DEFAULT_VEHTYPE;;1;3.00
570.00;-19352285#14_1;53.24;10.24;196.00;-0.41;19358499#0_1;5.10;11.52;tripinfo_106 routing_106;374.00;106;1;3056.17;1.03;0.00;104.61;DEFAULT_VEHTYPE;;3;50.00
570.00;-19353816#2_0;133.40;10.30;340.00;-0.80;19355160#3_0;5.10;11.01;tripinfo_582 routing_582;230.00;582;1;2214.23;0.98;0.00;25.12;DEFAULT_VEHTYPE;;0;0.00
571.00;19361005#0_0;121.74;12.55;182.00;-0.42;19357539#0_0;5.10;13.19;tripinfo_457 routing_457;389.00;457;1;4031.71;1.18;0.00;81.10;DEFAULT_VEHTYPE;;0;0.00
571.00;-19356054_0;65.01;11.40;280.00;-0.53;19353318_0;5.10;11.44;tripinfo_356 routing_356;291.00;356;1;2749.14;1.02;0.00;45.25;DEFAULT_VEHTYPE;;3;3.00
571.00;19357057#4_0;43.74;10.09;312.00;-0.98;-19358499#0_1;5.10;10.14;tripinfo_260 routing_260;259.00;260;1;1500.62;0.91;0.00;110.75;DEFAULT_VEHTYPE;;3;81.00
581.00;19354772_1;94.99;10.98;395.00;-0.17;19358587#0_1;5.10;11.26;tripinfo_648 routing_648;186.00;648;1;1779.95;1.01;0.00;24.32;DEFAULT_VEHTYPE;;0;0.00
588.00;-19353686#7_1;25.29;11.05;395.00;-0.23;-19358136#3_0;5.10;11.43;tripinfo_691 routing_691;193.00;691;1;1691.92;1.02;0.00;40.35;DEFAULT_VEHTYPE;;2;2.00
592.00;19358324_0;92.56;11.02;320.00;-0.66;-19358499#0_1;5.10;11.63;tripinfo_326 routing_326;272.00;326;1;1653.33;1.04;0.00;126.57;DEFAULT_VEHTYPE;;2;96.00
596.00;-19354183#1_0;14.66;7.47;340.00;-0.73;-19358499#1_1;5.10;10.68;tripinfo_369 routing_369;256.00;369;1;1660.95;0.96;0.00;95.18;DEFAULT_VEHTYPE;;2;61.00
600.00;576756561#0_0;90.89;11.56;207.00;-0.72;19355636_0;5.10;11.60;tripinfo_62 routing_62;393.00;62;1;2958.81;1.04;0.00;135.04;DEFAULT_VEHTYPE;;4;95.00
605.00;-19352037_0;416.63;12.55;55.00;-0.65;19358499#1_1;5.10;12.55;tripinfo_5 routing_5;550.00;5;1;4100.12;1.12;0.00;221.21;DEFAULT_VEHTYPE;;4;160.00
606.00;-19356627_0;50.32;10.65;382.00;-0.07;-19358499#1_1;5.10;10.91;tripinfo_350 routing_350;224.00;350;1;1720.49;0.98;0.00;61.56;DEFAULT_VEHTYPE;;1;25.00
606.00;19352901#0_0;179.64;10.56;422.00;-0.38;19352058_0;5.10;11.82;tripinfo_299 routing_299;184.00;299;1;1438.62;1.06;0.00;60.07;DEFAULT_VEHTYPE;;3;33.00
617.00;-19352542_0;156.76;10.86;326.00;-0.27;19355636_0;5.10;10.88;tripinfo_180 routing_180;291.00;180;1;2553.93;0.97;0.00;50.30;DEFAULT_VEHTYPE;;2;2.00
628.00;-19359704_0;76.65;9.32;146.00;-0.94;19355160#0_0;5.10;10.61;tripinfo_400 routing_400;482.00;400;1;4618.62;0.95;0.00;42.39;DEFAULT_VEHTYPE;;0;0.00
633.00;329995330#6_1;32.22;11.33;368.00;-0.31;19352058_0;5.10;11.37;tripinfo_393 routing_393;265.00;393;1;2259.40;1.02;0.00;62.02;DEFAULT_VEHTYPE;;4;18.00
640.00;-19354615_0;155.66;10.87;171.00;-0.44;-19359987_0;5.10;11.40;tripinfo_405 routing_405;469.00;405;1;4580.62;1.02;0.00;63.03;DEFAULT_VEHTYPE;;0;0.00
641.00;-19355160#0_0;438.84;10.23;163.00;-0.02;-19358499#1_1;5.10;11.24;tripinfo_19 routing_19;478.00;19;1;3772.12;1.01;0.00;141.57;DEFAULT_VEHTYPE;;4;92.00
641.00;19358435_0;138.57;11.57;244.00;-0.16;19358499#0_1;5.10;12.25;tripinfo_274 routing_274;397.00;274;1;3339.50;1.10;0.00;121.07;DEFAULT_VEHTYPE;;3;63.00
646.00;-19359987_0;174.26;10.33;212.00;-0.57;-19358499#0_1;5.10;11.15;tripinfo_68 routing_68;434.00;68;1;2837.93;1.00;0.00;180.18;DEFAULT_VEHTYPE;;4;142.00
646.00;19353810#1_0;58.53;10.19;260.00;-0.97;19359987_0;5.10;11.14;tripinfo_422 routing_422;386.00;422;1;3516.77;1.00;0.00;67.60;DEFAULT_VEHTYPE;;2;20.00
649.00;-19352285#12_1;71.70;11.92;294.00;-0.01;19356025#1_0;5.10;12.51;tripinfo_408 routing_408;355.00;408;1;4030.41;1.12;0.00;30.42;DEFAULT_VEHTYPE;;0;0.00
661.00;-19355160#3_0;95.80;11.79;186.00;-0.01;19358499#0_1;5.10;12.32;tripinfo_73 routing_73;475.00;73;1;4644.80;1.10;0.00;95.68;DEFAULT_VEHTYPE;;2;40.00
661.00;-19357991#2_0;170.34;10.66;482.00;-0.04;19357539#1_0;5.10;10.73;tripinfo_592 routing_592;179.00;592;1;1646.80;0.96;0.00;22.24;DEFAULT_VEHTYPE;;0;0.00
671.00;-19358136#3_0;49.63;10.19;349.00;-0.67;-19358499#1_1;5.10;10.98;tripinfo_183 routing_183;322.00;183;1;2355.52;0.98;0.00;103.51;DEFAULT_VEHTYPE;;4;54.00
673.00;-19359071#0_0;148.37;10.88;357.00;-0.13;-511366397_0;5.10;6.04;tripinfo_207 routing_207;316.00;207;1;1810.57;1.09;0.00;152.60;DEFAULT_VEHTYPE;;4;107.00
690.00;-19357057#4_0;43.74;10.25;541.00;-0.66;-19352037_0;5.10;11.28;tripinfo_584 routing_584;149.00;584;1;1540.13;1.01;0.00;11.26;DEFAULT_VEHTYPE;;0;0.00
694.00;-19353686#2_1;41.40;9.86;442.00;-0.81;596607447#3_0;5.10;10.82;tripinfo_650 routing_650;252.00;650;1;2281.09;0.97;0.00;36.43;DEFAULT_VEHTYPE;;3;3.00
697.00;-19353264#3_0;46.83;10.60;450.00;3.11;-19355636_0;5.10;5.75;tripinfo_259 routing_259;247.00;259;1;1918.93;0.95;0.00;63.95;DEFAULT_VEHTYPE;;3;32.00
701.00;19355160#3_0;95.80;10.70;353.00;-0.09;19353318_0;5.10;11.26;tripinfo_49 routing_49;348.00;49;1;3183.24;1.01;0.00;61.23;DEFAULT_VEHTYPE;;1;27.00
703.00;-19353551#4_1;58.69;10.95;569.00;-0.90;-19358136#2_0;5.10;11.08;tripinfo_642 routing_642;134.00;642;1;1200.73;0.99;0.00;22.32;DEFAULT_VEHTYPE;;1;1.00
710.00;-576756561#0_0;90.89;11.56;363.00;-0.29;19353318_0;5.10;11.57;tripinfo_50 routing_50;347.00;50;1;3221.69;1.03;0.00;65.60;DEFAULT_VEHTYPE;;2;21.00
733.00;-19356535#5_0;52.33;9.17;314.00;-0.38;19355160#0_0;5.10;10.23;tripinfo_413 routing_413;419.00;413;1;3858.49;0.91;0.00;39.55;DEFAULT_VEHTYPE;;0;0.00
733.00;19355160#3_0;95.80;12.82;381.00;-0.92;19353318_0;5.10;12.83;tripinfo_7 routing_7;352.00;7;1;3183.24;1.15;0.00;99.86;DEFAULT_VEHTYPE;;2;59.00
749.00;19356432_0;56.91;12.38;429.00;-0.67;-511366397_0;5.10;6.24;tripinfo_208 routing_208;320.00;208;1;2195.74;1.12;0.00;130.28;DEFAULT_VEHTYPE;;2;83.00
767.00;-19358038#0_1;302.90;9.99;668.00;-0.80;19354710#0_0;5.10;10.66;tripinfo_639 routing_639;99.00;639;1;910.57;0.95;0.00;11.03;DEFAULT_VEHTYPE;;0;0.00
776.00;19355160#0_0;438.81;10.64;423.00;-0.68;19352058_0;5.10;9.02;tripinfo_33 routing_33;353.00;33;1;2759.55;1.01;0.00;105.84;DEFAULT_VEHTYPE;;3;70.00
776.00;-329995277#2_1;69.27;12.83;673.00;-0.42;19356535#8_0;5.10;13.02;tripinfo_689 routing_689;103.00;689;1;1046.60;1.16;0.00;20.03;DEFAULT_VEHTYPE;;0;0.00
777.00;19357114#3_0;125.59;11.39;527.00;-0.29;-19356025#1_0;5.10;12.28;tripinfo_570 routing_570;250.00;570;1;2147.69;1.10;0.00;72.42;DEFAULT_VEHTYPE;;1;45.00
786.00;-19353816#2_0;133.40;10.39;464.00;-0.16;-511366397_0;5.10;5.64;tripinfo_205 routing_205;322.00;205;1;2423.41;1.01;0.00;90.71;DEFAULT_VEHTYPE;;2;41.00
791.00;-19352037_0;416.63;10.93;325.00;-0.69;-19358499#0_1;5.10;11.44;tripinfo_70 routing_70;466.00;70;1;3363.74;1.02;0.00;171.06;DEFAULT_VEHTYPE;;4;128.00
798.00;-576756561#0_0;90.89;11.25;436.00;-0.43;19355636_0;5.10;11.91;tripinfo_26 routing_26;362.00;26;1;3154.48;1.07;0.00;94.29;DEFAULT_VEHTYPE;;4;49.00
801.00;-661061473#0_1;18.95;11.17;591.00;-0.35;19351857#5_1;5.10;11.53;tripinfo_634 routing_634;210.00;634;1;1982.38;1.03;0.00;34.02;DEFAULT_VEHTYPE;;2;2.00
809.00;329995330#0_1;32.74;11.37;573.00;-0.43;19355636_0;5.10;11.97;tripinfo_336 routing_336;236.00;336;1;2218.46;1.07;0.00;46.93;DEFAULT_VEHTYPE;;4;4.00
810.00;19355160#0_0;438.81;10.78;322.00;-0.82;19358499#0_1;5.10;11.43;tripinfo_98 routing_98;488.00;98;1;4169.43;1.02;0.00;121.73;DEFAULT_VEHTYPE;;3;70.00
814.00;19357114#2_0;100.29;10.42;640.00;-0.55;-19355636_0;5.10;11.27;tripinfo_266 routing_266;174.00;266;1;1537.39;1.01;0.00;36.10;DEFAULT_VEHTYPE;;2;2.00
818.00;-19357057#3_0;46.74;10.80;665.00;-0.77;-19352058_0;5.10;11.35;tripinfo_293 routing_293;153.00;293;1;1298.11;1.02;0.00;34.40;DEFAULT_VEHTYPE;;2;2.00
820.00;19354956#5_1;6.68;10.23;574.00;-0.15;511366397_0;5.10;5.23;tripinfo_176 routing_176;246.00;176;1;2005.65;0.94;0.00;43.90;DEFAULT_VEHTYPE;;3;3.00
825.00;19355160#3_0;95.80;11.37;433.00;-0.87;511366397_0;5.10;6.10;tripinfo_30 routing_30;392.00;30;1;3500.89;1.10;0.00;94.06;DEFAULT_VEHTYPE;;1;44.00
825.00;-19356382#32_1;34.20;11.52;612.00;-0.07;-19354956#5_1;5.10;11.86;tripinfo_619 routing_619;213.00;619;1;1552.00;1.06;0.00;79.25;DEFAULT_VEHTYPE;;4;38.00
825.00;-19357991#1_0;101.66;12.07;636.00;-0.26;19356025#1_0;5.10;12.50;tripinfo_529 routing_529;189.00;529;1;2076.54;1.12;0.00;20.66;DEFAULT_VEHTYPE;;0;0.00
827.00;19353551#8_1;21.95;10.90;660.00;-0.40;-19354074_0;5.10;11.60;tripinfo_671 routing_671;167.00;671;1;1616.58;1.04;0.00;23.92;DEFAULT_VEHTYPE;;1;1.00
832.00;-19352285#6_1;39.99;8.35;409.00;-0.79;19357539#1_0;5.10;9.32;tripinfo_444 routing_444;423.00;444;1;3512.29;0.83;0.00;40.77;DEFAULT_VEHTYPE;;0;0.00
833.00;-19353092#1_0;58.46;11.21;568.00;-0.32;-19352058_0;5.10;11.23;tripinfo_152 routing_152;265.00;152;1;2045.46;1.00;0.00;76.33;DEFAULT_VEHTYPE;;6;11.00
839.00;19352542_0;156.76;11.81;456.00;-0.61;19355160#0_0;5.10;11.99;tripinfo_445 routing_445;383.00;445;1;3710.78;1.07;0.00;70.23;DEFAULT_VEHTYPE;;0;0.00
846.00;19352285#14_1;53.24;11.22;592.00;-0.10;-19352058_0;5.10;11.44;tripinfo_143 routing_143;254.00;143;1;2504.07;1.02;0.00;31.62;DEFAULT_VEHTYPE;;1;1.00
848.00;19355479#2_0;66.79;10.99;763.00;-0.08;511366397_0;5.10;5.85;tripinfo_325 routing_325;85.00;325;1;601.25;1.05;0.00;23.85;DEFAULT_VEHTYPE;;1;9.00
850.00;19352868_0;180.70;10.39;396.00;-0.42;19355160#3_0;5.10;11.37;tripinfo_447 routing_447;454.00;447;1;4634.69;1.02;0.00;40.85;DEFAULT_VEHTYPE;;0;0.00
852.00;-19352131#5_1;49.62;11.17;666.00;-0.97;-19353318_0;5.10;11.22;tripinfo_277 routing_277;186.00;277;1;1712.28;1.00;0.00;30.08;DEFAULT_VEHTYPE;;2;2.00
874.00;-19353551#8_1;21.69;11.92;663.00;-0.68;19354615_0;5.10;12.52;tripinfo_687 routing_687;211.00;687;1;2232.21;1.12;0.00;27.82;DEFAULT_VEHTYPE;;1;1.00
876.00;19354328_0;144.90;11.78;647.00;-0.45;-661061477#0_1;5.10;11.94;tripinfo_569 routing_569;229.00;569;1;2162.72;1.07;0.00;45.87;DEFAULT_VEHTYPE;;1;14.00
883.00;19357539#1_0;239.69;11.03;476.00;-0.94;19358499#1_1;5.10;11.90;tripinfo_1 routing_1;407.00;1;1;3962.67;1.06;0.00;73.02;DEFAULT_VEHTYPE;;2;28.00
883.00;19353551#9_1;3.02;7.88;740.00;-0.89;-19354575#0_0;5.10;13.18;tripinfo_602 routing_602;143.00;602;1;1582.69;1.18;0.00;20.02;DEFAULT_VEHTYPE;;1;1.00
